Index,Title,Model,Price,Distance,Fuel Type,Engine,Transmission Type,City
175,Toyota Passo  2021 X L Package S  for Sale,2021,PKR 38.75 lacs,"36,000 km",Petrol,1000 cc,Automatic,Lahore
176,Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,2016,PKR 51.5 lacs,"115,000 km",Petrol,1500 cc,Automatic,Lahore
177,Toyota Corolla  2010 XLi VVTi for Sale,2010,PKR 22.75 lacs,"110,000 km",Petrol,1300 cc,Manual,Lahore
178,Honda HR-V  2022 VTi-S for Sale,2022,PKR 66 lacs,"29,500 km",Petrol,1500 cc,Automatic,Lahore
179,Toyota Corolla 9th (E120) Generation 2003 SE Saloon for Sale,2003,PKR 16 lacs,"180,000 km",Petrol,1600 cc,Manual,Lahore
180,Suzuki Wagon R  2017 VXL for Sale,2017,PKR 20.5 lacs,"100,000 km",Petrol,1000 cc,Manual,Lahore
181,Haval H6  2024 HEV for Sale,2024,PKR 1.24 crore,1 km,Hybrid,1500 cc,Automatic,Lahore
182,Suzuki Bolan  2021 Cargo Van Euro ll for Sale,2021,PKR 17.5 lacs,"12,000 km",Petrol,800 cc,Manual,Lahore
183,Honda City 5th (GM2) Generation 2017 1.3 i-VTEC for Sale,2017,PKR 31.5 lacs,"123,000 km",Petrol,1300 cc,Manual,Lahore
184,Honda Civic  2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,2015,PKR 43 lacs,"200,000 km",Petrol,1800 cc,Automatic,Lahore
185,MG 4  2024 Excite for Sale,2024,PKR 1 crore,"1,800 km",Electric,51.0 kWh,Automatic,Lahore
186,Tesla Model 3  2021 Standard Range Plus for Sale,2021,PKR 1.3 crore,"48,000 km",Electric,550.0 kWh,Automatic,Lahore
187,Honda City 5th (GM2) Generation 2021 1.3 i-VTEC Prosmatec for Sale,2021,PKR 41.5 lacs,"42,000 km",Petrol,1300 cc,Automatic,Lahore
188,Toyota Raize  2020 Z for Sale,2020,PKR 63.5 lacs,"47,000 km",Petrol,1000 cc,Automatic,Lahore
189,Toyota Corolla  2021 Altis X Automatic 1.6 Special Edition for Sale,2021,PKR 57 lacs,"82,500 km",Petrol,1598 cc,Automatic,Lahore
190,Toyota Aqua  2021 Z for Sale,2021,PKR 92 lacs,"47,000 km",Hybrid,1500 cc,Automatic,Lahore
191,Toyota Fortuner  2018 2.7 VVTi for Sale,2018,PKR 1.18 crore,"64,000 km",Petrol,2700 cc,Automatic,Lahore
192,Toyota Corolla  2018 Altis Automatic 1.6 for Sale,2018,PKR 45 lacs,"208,107 km",Petrol,1600 cc,Automatic,Lahore
193,Suzuki Every  2012 Join for Sale,2012,PKR 15.9 lacs,"120,000 km",Petrol,660 cc,Automatic,Lahore
194,Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,2021,PKR 59.5 lacs,"75,000 km",Petrol,1800 cc,Automatic,Lahore
195,Daihatsu Move  2012 Custom X for Sale,2012,PKR 20.95 lacs,"98,000 km",Petrol,660 cc,Automatic,Lahore
196,Honda Vezel  2019 Hybrid Z Honda Sensing  for Sale,2019,PKR 78 lacs,"115,074 km",Hybrid,1500 cc,Automatic,Lahore
197,Honda Civic  2009 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,2009,PKR 26.8 lacs,"199,000 km",Petrol,1800 cc,Automatic,Lahore
198,Suzuki Swift  2013 DLX 1.3 for Sale,2013,PKR 20.85 lacs,"107,000 km",Petrol,1300 cc,Manual,Lahore
199,Honda Civic  2017 Turbo 1.5 VTEC CVT for Sale,2017,PKR 52.1 lacs,"50,500 km",Petrol,1500 cc,Automatic,Lahore
